,Sr.No,PIC,Name of Dam,Operated & Maintained by,Latitude,Longitude,Year of Completion,River Basin,River,Neareast City,Seismic Zone,Dam Type,Height above Lowest Foundation Level,Dam Length,Volume Content of Dam,Gross Storage Capacity,Reservoir Area,Effective Storage Capacity,Purpose,Designed Spillway Capacity
1073,609,GJ04LH0679,SUKI,Gujarat Engineering Research Institute,"22° 55 ' 16""","74° 14 ' 0""",1957,Mahi,Suki,Chhotaudepur,III,Earthfill_Embankment,20,670,454930,4036000,1160000,3215000,I,298
1074,610,GJ04LH0680,TITODI,Gujarat Engineering Research Institute,"23° 10 ' 11""","74° 7 ' 2""",1957,Mahi,Titodi,Zalod,II,Earthfill_Embankment,23,1798,795430,3560000,1200000,3376000,I,226
1075,611,GJ04LH0681,MINAKYAR,Gujarat Engineering Research Institute,"22° 44 ' 45""","74° 10 ' 29""",1968,Mahi,Kotar,Dahod,IV,Earthfill_Embankment,18,465,260720,2029000,580000,1891000,I,157
1076,612,GJ04LH0682,THERKA,Gujarat Engineering Research Institute,"23° 4 ' 12""","74° 12 ' 32""",1968,Mahi,Kotar,Jhalod,III,Earthfill_Embankment,15,597,230360,976000,250000,729000,I,104
1077,613,GJ04LH0683,FATEGADHI,Gujarat Engineering Research Institute,"23° 13 ' 12""","74° 4 ' 41""",1972,Mahi,Fatehgadhi,Fatepura,V,Earthfill_Embankment,17,150,74520,2520000,340000,2100000,I,115
1078,614,GJ04LH0684,MARGALA,Gujarat Engineering Research Institute,"23° 5 ' 29""","74° 3 ' 24""",1970,Mahi,Kotar,Fatepura,III,Earthfill_Embankment,11,638,138780,1354000,100000,1062000,I,109
1079,615,GJ04LH0685,TIDKI,Gujarat Engineering Research Institute,"22° 39 ' 28""","73° 55 ' 21""",1971,Mahi,Kotar,D Baria,II,Earthfill_Embankment,19,119,59830,1790000,675000,1527000,I,137
1080,616,GJ04LH0686,NAKTI,Gujarat Engineering Research Institute,"22° 40 ' 42""","74° 1 ' 26""",1973,Mahi,Kotar,Dhanpur,III,Earthfill_Embankment,15,109,43200,318000,230000,305000,I,21
1081,617,GJ04LH0687,KUNDA DHAMENA,Gujarat Engineering Research Institute,"23° 4 ' 17""","74° 2 ' 7""",1974,Mahi,Mod Nadi,Jhalod,III,Earthfill_Embankment,20,535,363260,652000,77000,567000,I,135
1082,618,GJ04LH0688,JADAKHERIYA,Gujarat Engineering Research Institute,"22° 48 ' 32""","74° 9 ' 14""",1975,Mahi,Kotar,Limkheda,III,Earthfill_Embankment,13.91,883,825000,2420000,237000,2420000,I,245
1083,619,GJ04LH0689,KALIYA HILL,Gujarat Engineering Research Institute,"23° 1 ' 14""","74° 1 ' 40""",1975,Mahi,Kotar,Jhalod,III,Earthfill_Embankment,33,70,38800,2605000,660000,2058000,I,195
1084,620,GJ04LH0690,ZARIBUZARG,Gujarat Engineering Research Institute,"22° 39 ' 13""","74° 20 ' 18""",1975,Mahi,Tr of Khan,Dohad,II,Earthfill_Embankment,25,475,238810,2733000,240000,1304000,I,323
1085,621,GJ04LH0691,AAMLIMENPUR,Gujarat Engineering Research Institute,"22° 7 ' 0""","74° 37 ' 0""",1976,Mahi,Kotar,Dhanpur,III,Earthfill_Embankment,20,368,257600,3587000,1650000,3142000,I,341
1086,622,GJ04LH0692,ZER,Gujarat Engineering Research Institute,"22° 22 ' 33""","73° 59 ' 22""",1961,Narmada,Local Kotar,Chhotaudepur,III,Earthfill_Embankment,19,342,148940,3398000,1100000,3230000,I,244.89
1087,623,GJ04LH0693,Koyali-Mandvi,Gujarat Engineering Research Institute,"21° 23 ' 0""","73° 34 ' 0""",1981,Narmada,Kotar,Valia,III,Earthfill_Embankment,11.1,745,0,480000,168000,450000,I,212.4
1088,624,GJ04LH0694,KHANDI,Gujarat Engineering Research Institute,"22° 28 ' 30""","73° 46 ' 30""",1983,Narmada,Local Kotar,Jetpurpavi,III,Earthfill_Embankment,22.5,387,154590,1677000,400000,1430000,I,136.05
1089,625,GJ04LH0695,GADHAVEL,Gujarat Engineering Research Institute,"22° 34 ' 27""","74° 3 ' 43""",1982,Mahi,Kotar,Dhanpur,II,Earthfill_Embankment,22,850,713400,3200000,1160000,2730000,I,210
1090,626,GJ04LH0696,THALA,Gujarat Engineering Research Institute,"22° 36 ' 0""","74° 6 ' 16""",1985,Mahi,Kotar,Zalod,II,Earthfill_Embankment,29.5,795,395920,2119000,690000,1650000,I,185
1091,627,GJ04LH0697,NINDKA,Gujarat Engineering Research Institute,"23° 10 ' 0""","74° 1 ' 0""",1986,Mahi,Kotar,Santrampur,III,Earthfill_Embankment,22,100,56070,1787000,400000,1425000,I,226
1092,628,GJ04LH0698,BAVKA,Gujarat Engineering Research Institute,"22° 46 ' 32""","74° 10 ' 50""",1986,Mahi,Kotar,Dahod,II,Earthfill_Embankment,27,630,195780,1393000,180000,1193000,I,141
1093,629,GJ04LH0699,JAVESHI,Gujarat Engineering Research Institute,"23° 6 ' 37""","74° 4 ' 25""",1986,Mahi,Kotar,Santrampur,II,Earthfill_Embankment,21.5,600,332640,1085000,350000,938000,I,595
1094,630,GJ04LH0700,SAGATALA,Gujarat Engineering Research Institute,"22° 33 ' 47""","73° 54 ' 42""",1990,Mahi,Wal,D.Baria,III,Earthfill_Embankment,33.5,461,292150,3189000,580000,2695000,I,214
1095,631,GJ04LH0701,JAWALA,Gujarat Engineering Research Institute,"22° 33 ' 27""","73° 14 ' 22""",,Mahi,T-Narmada,Savli,III,Earthfill_Embankment,15,2622,240350,1480000,608000,1450000,I,151.36
1096,632,GJ04LH0702,Und III,Gujarat Engineering Research Institute,"22° 11 ' 6""","70° 26 ' 51""",1999,West Flowing Rivers of Kutch and Saurashtra including Luni,Manvar,Kalavad,III,Other,14.1,2368,450000,4690000,2116600,3890000,I,1048
1097,1,HP27VH0001,BHAKRA (BBMB),Bhakra Beas Management Board,"31° 24 ' 41""","76° 26 ' 41""",1963,Indus Up to Border,Sutlej,Nangal,IV,Concrete_Gravity_or_RCC,225.549859182,518.159983419,4130000,,7551000000,168350000,I/H/T/C/F,5587
1098,2,HP19VH0002,PONG(Beas Dam),Bhakra Beas Management Board,"31° 58 ' 4""","75° 57 ' 0""",1974,Indus Up to Border,Beas.,Talwara Township,IV,Earthfill_Embankment,132.59,1950.72,35000000,,9621000000,260000000,I/H/C,12375
1099,3,HP27HH0003,PANDOH (BBMB),Bhakra Beas Management Board,"31° 40 ' 16""","77° 4 ' 2""",1977,Indus Up to Border,Beas.,Mandi,V,Rock_fill_Embankment,76,255,1580000,42000000,1750000,32440000,H,9939
1100,4,HP30HH0004,BAIRA SIUL (NHPC),National Hydroelectric Power Corporation,"32° 48 ' 27""","76° 8 ' 29""",1981,Indus Up to Border,Baira,Chamba,IV,Rock_fill_Embankment,53,160,351000,3750000,152000,1270000,H,2380
1101,5,HP30VH0005,CHAMERA I (NHPC),National Hydroelectric Power Corporation,"32° 35 ' 49""","75° 59 ' 11""",1994,Indus Up to Border,Ravi..,Bhattiyat,IV,Other,121,295,1380000,391300000,9300000,109550000,H,26500
1102,6,HP44MH0006,MALANA-I,Bhilwara Group,"32° 2 ' 10""","77° 15 ' 17""",2001,Indus Up to Border,Malana,Kullu,V,Other,18,305,250000,250000,16000,250000,H,650
1103,7,HP43MH0007,BASPA II (Kuppa Barrage),Jaypee Group,"31° 25 ' 49""","78° 14 ' 29""",2002,Indus Up to Border,Baspa,Sangla,IV,Other,16,61,69640,1378600000,238100,750000000,H,1150
1104,8,HP30HH0008,CHAMERA -II (NHPC),National Hydroelectric Power Corporation,"32° 28 ' 24""","76° 15 ' 13""",2004,Indus Up to Border,Ravi..,Chamba,IV,Other,43,118.5,134000,2247000,227000,1838000,H,9000
1105,9,HP19MH0009,LARJI,Himachal Pradesh State Electricity Board,"31° 43 ' 11""","77° 12 ' 42""",2006,Indus Up to Border,Beas.,Mandi,V,Other,26.5,49.5,111570,3430000,475000,2300000,H,8100
1106,10,HP33HH0010,NATHPA JHAKRI (SJVNL),Satluj Jal Vidyut Nigam Limited,"31° 33 ' 50""","77° 58 ' 49""",2004,Indus Up to Border,Sutlej,Nichar,V,Other,67.5,185.45,200000,3430000,2345000,3030000,H,5660
1107,11,HP30HH0012,CHAMERA III (NHPC),National Hydroelectric Power Corporation,"32° 28 ' 21""","76° 26 ' 21""",2012,Indus Up to Border,Ravi..,Chamba,IV,Other,64,73,151000,3460000,301000,1780000,H,8030
1108,12,HP43HH0013,KARCHAM,Jaypee Group,"31° 29 ' 57""","78° 10 ' 44""",2011,Indus Up to Border,Sutlej,Kinnaur,IV,Other,98,182.5,532630,8582900,588400,5449700,H,7400
1109,13,HP32VH0014,KOL (NTPC),National Thermal Power Corporation Limited,"31° 23 ' 7""","76° 52 ' 20""",2015,Indus Up to Border,Sutlej,Bilaspur.,V,Rock_fill_Embankment,167,500,11000000,576000000,13020000,90000000,H,16500
1110,14,HP44HH0015,MALANA II,Bhilwara Group,"32° 50 ' 6""","77° 16 ' 51""",2012,Indus Up to Border,Malana,Kullu,V,Other,53,158.5,101000,379000,30000,287500,H,650
1111,15,HP30HH0016,PARBATI II (NHPC),National Hydroelectric Power Corporation,"31° 59 ' 54""","77° 26 ' 45""",,Indus Up to Border,Parbati,Kullu,V,Other,83.7,110.5,,6550000,152000,1980000,H,1850
1112,16,HP30HH0017,PARBATI III (NHPC),National Hydroelectric Power Corporation,"31° 47 ' 00""","77° 20 ' 00""",2014,Indus Up to Border,Parbati,Behali,V,CFRD_Concrete_Face_Rockfill_Dam,,,,1668000,125000,1282500,H,3300
1113,17,HP31HH0018,BAJOLI HOLI (HPSEB),Himachal Pradesh State Electricity Board,"32° 16 ' 49""","76° 40 ' 36""",,Indus Up to Border,Ravi..,Chamba,II,Barrage,66,178,,799500,6060000,799500,H,7419
1114,18,HP33HH0019,LUHRI (SJVNL),Satluj Jal Vidyut Nigam Limited,"31° 21 ' 40""","77° 32 ' 4""",,Indus Up to Border,Sutlej,Nirath,II,Other,80,224.5,,25200000,12773000,6300000,H,13462
1115,19,HP48MH0020,Allain Barrage,-,"32° 13 ' 33""","77° 12 ' 25""",2010,Indus Up to Border,Allain Duhangan Nalla,Manali,V,Barrage,29,37.5,49000,294000,16150,225000,H,31
1116,20,HP49HH0021,Budhil,-,"32° 27 ' 14""","76° 32 ' 2""",2012,Indus Up to Border,Ravi..,Chamba,V,Other,58,64,60000,830,438,438,H,3400
1117,1,HR45HH0001,Kaushalya,-,"30° 46 ' 30.04""","76° 54 ' 56.02""",2011,Indus Up to Border,Kaushalya,Panchkula,IV,Earthfill_Embankment,34,1435,4000000,13681000,1060000,12926000,S,918.9
1118,1,JK20MH0001,GUJAR NAR DAM,-,"34° 5 ' 25""","74° 47 ' 8""",1971,Indus Up to Border,Jhelum,Srinagar,II,Earthfill_Embankment,18,115,72000,12460000,,,I,20
1119,2,JK20MH0002,ARZAM GARZAM DAM,-,"0° 0 ' 0""","0° 0 ' 0""",1971,Indus Up to Border,Arzam Gazam,Arzam Garzam,II,Earthfill_Embankment,19,128,61000,3100000,,310000,I,49
1120,3,JK30VH0003,SALAL (Rockfill Dam) NHPC,National Hydroelectric Power Corporation,"33° 8 ' 31""","74° 48 ' 31""",1987,Indus Up to Border,Chenab...,Reasi,IV,Rock_fill_Embankment ,118,630,8000000,8790000,9356000,6593000,H,22427
1121,4,JK30VH0004,SALAL (Concrete Dam) NHPC,National Hydroelectric Power Corporation,"33° 8 ' 35""","74° 48 ' 36""",1987,Indus Up to Border,Chenab...,Reasi,IV,Other,113,487,1450000,272070000,935.6,190449000,H,22500
1122,5,JK30HH0005,URI-I Barrage,National Hydroelectric Power Corporation,"34° 8 ' 40""","74° 11 ' 9""",1997,Indus Up to Border,Jhelum,Baramulla,IV,Other,21.5,95,126000,309000,12750,309000,H,2760
1123,6,JK20VH0006,BAGLIHAR,Jammu and Kashmir Water Resources Department,"33° 9 ' 40""","75° 19 ' 39""",2009,Indus Up to Border,Chenab..,Ramban,IV,Other,143,362.86,2600000,475000000,8079000,15000000,H,16500
1124,7,JK20MH0007,MALAPORE,-,"0° 0 ' 0""","0° 0 ' 0""",,Indus Up to Border,Malapore,Malapore,II,Earthfill_Embankment,18,90,65000,3480000,,300000,,89
1125,8,JK20MH0008,PYNEER STORAGE SCHEME,-,"34° 23 ' 58""","73° 52 ' 57""",,Indus Up to Border,Hazinar,Hajinar,II,Earthfill_Embankment,19,209,71000,125000,,,I,17
1126,9,JK20MH0009,TUJAN,-,"33° 51 ' 12""","74° 49 ' 35""",,Indus Up to Border,Ghataprabha,Khanchi,II,Earthfill_Embankment,18,84,48000,400000,,367000,,89
1127,10,JK20MH0010,KARPURA,-,"34° 5 ' 14""","74° 49 ' 55""",,Indus Up to Border,Ghataprabha,Khanchi,II,Earthfill_Embankment,20,109,68000,268000,,249000,,89
1128,11,JK30HH0011,DUL DAM,National Hydroelectric Power Corporation,"33° 22 ' 8""","75° 47 ' 54""",2007,Indus Up to Border,Chenab...,Kishtwar,IV,Other,65,186,200000,11700000,740000,10720000,H,8000
1129,12,JK30HH0012,SEWA II,National Hydroelectric Power Corporation,"32° 40 ' 36""","75° 49 ' 18""",2010,Indus Up to Border,Sewa,Kathua,IV,Other,53,114,124000,6680000,422000,4100000,H,4020
1130,13,JK20VH0013,,-,"33° 18 ' 25""","75° 45 ' 55""",,Indus Up to Border,Marusudar,Kishtwar,II,Other,167,,0,0,,,,
1131,14,JK20MH0014,Chutak Barrage,National Hydroelectric Power Corporation,"34° 29 ' 24""","76° 6 ' 47""",2013,Indus Up to Border,Suru tributary of Indus river.,Kargil,IV,Other,15,47.5,40000,588000,135000,,H,1400
1132,15,JK30HH0015,NIMOO BAZGO DAM,National Hydroelectric Power Corporation,"34° 12 ' 53""","77° 11 ' 7""",2013,Indus Up to Border,Indus.,Leh,IV,Other,59,247.9,250000,52820000,3420000,9720000,H,4500
1133,16,JK30HH0016,URI-II DAM,National Hydroelectric Power Corporation,"34° 5 ' 29""","74° 1 ' 56""",2014,Indus Up to Border,Jhelum,Baramulla,IV,Other,52,157,120000,6343000,413000,,H,4850
1134,17,JK30MH0016,KISHANGANGA DAM,National Hydroelectric Power Corporation,"34° 30 ' 51""","74° 45 ' 10""",2018,Indus Up to Border,Mod Nadi,Bandipora,IV,Rock_fill_Embankment ,37,146,,18350000,2100000000,7550000,H,2000
1135,1,JH05MH0001,TILAIYA,Damodar Valley Corporation,"24° 19 ' 28""","85° 31 ' 17""",1953,Ganga,Barakar,Koderma,III,Earthfill_Embankment,,,,380710000,59080000,305930000,HSC,1348
1136,2,JH05MH0002,BATARE,Jharkhand Water Resources Department,"24° 25 ' 47""","84° 11 ' 10""",1954,Ganga,Batare.,Daltonganj,III,Earthfill_Embankment,19.33,748.48,0,3160000,,2974700,I,113
1137,3,JH05MH0003,GONDA,Jharkhand Water Resources Department,"23° 59 ' 35""","85° 18 ' 25""",1954,Ganga,Gonda.,Hazaribagh,III,Earthfill_Embankment,16.76,1006,,2257000,,1579900,I,
1138,4,JH05MH0004,JAMUNIA,Jharkhand Water Resources Department,"24° 0 ' 25""","85° 45 ' 32""",1954,Ganga,Jamuni.,Hazaribagh,II,Earthfill_Embankment,17.36,1067.1,0,259000000,610000,,I,219
1139,5,JH05HH0005,KONAR,Damodar Valley Corporation,"23° 55 ' 45""","85° 45 ' 41""",1955,Ganga,Damodar,Hazaribagh,III,Concrete_Gravity_or_RCC ,57.6,3682.03,4489449,292335000,175000000,176000000,I/D,6792
1140,6,JH05MH0006,BUCHAOPA,Jharkhand Water Resources Department,"23° 29 ' 55""","84° 56 ' 43""",1957,Brahmani and Baitarni,Buchaopa Nala.,Ranchi,II,Earthfill_Embankment,24.02,1067,0,2840000,20000,2400000,I,58
1141,7,JH05MH0007,GHAGHRA,Jharkhand Water Resources Department,"23° 55 ' 22""","85° 7 ' 58""",1957,Ganga,Ghaghra.,Hazaribagh,III,Other,19.82,94.51,0,9374000,,6661000,I,217
1142,8,JH05HH0008,MAITHON,Damodar Valley Corporation,"23° 47 ' 7""","86° 48 ' 43""",1957,Ganga,Barakar river,Asansol,III,Earthfill_Embankment,56.08,4426.76,3719383,534000000,107160000,441000000,I/H/S/T/C,14160
1143,9,JH05HH0009,PANCHET HILL,Damodar Valley Corporation,"23° 40 ' 51""","86° 44 ' 50""",1959,Ganga,Damodar.,Dhanbad,III,Earthfill_Embankment,45,6777,7165422,275000000,121386000,169000000,I/H/S/C,17842
1144,10,JH05MH0010,HATIA,Jharkhand Water Resources Department,"23° 16 ' 49""","85° 15 ' 37""",1963,Subarnarekha,Subarnarekha.,Hatia,II,Earthfill_Embankment,24,4525,0,34100000,,31900000,I,
1145,11,JH05MH0011,SITARAM PUR,Jharkhand Water Resources Department,"22° 46 ' 21""","86° 6 ' 21""",1964,Subarnarekha,Sitaram Pur,Saraikela Kharsawan,II,Earthfill_Embankment,16.77,2043,0,8826200,63700,8085300,I,317.7
1146,12,JH05MH0012,BARANADI,Jharkhand Water Resources Department,"24° 7 ' 4""","87° 24 ' 1""",1967,Ganga,Baranadi.,Dumka,III,Earthfill_Embankment,19.51,221,0,5640000,2110000,4555000,I,289
1147,13,JH05MH0013,KAIRABANI,Jharkhand Water Resources Department,"24° 10 ' 11""","87° 26 ' 24""",1967,Ganga,Dararika.,Dumka,III,Earthfill_Embankment,18.59,295.66,,3550000,550000,3260000,I,164
1148,14,JH05HH0014,NALKARI,Jharkhand Water Resources Department,"23° 36 ' 55""","85° 17 ' 29""",1968,Ganga,Nalkari.,Hazaribagh,II,Earthfill_Embankment,36,3074,2620000,107000000,9920000,74900000,I,2820
1149,15,JH05MH0015,DULAKI,Jharkhand Water Resources Department,"0° 0 ' 0""","0° 0 ' 0""",1971,Ganga,Dulaki.,Hazaribagh,II,Earthfill_Embankment,16.76,1067,0,2097000,,1923000,I,108
1150,16,JH05HH0016,GATALSUD,Jharkhand Water Resources Department,"23° 27 ' 25""","85° 33 ' 17""",1971,Subarnarekha,Subarnarekha.,Ranchi,II,Earthfill_Embankment,40.24,5616.77,0,288760000,34380000,230760000,I/H/S,8500
1151,17,JH05LH0017,TEMARAIN,Jharkhand Water Resources Department,"23° 59 ' 53""","84° 0 ' 11""",1973,Ganga,Temarain.,Daltonganj,III,Earthfill_Embankment,12.8,503.05,0,1300000,340000,1220000,I,66
1152,18,JH05LH0018,LARWA,Jharkhand Water Resources Department,"22° 44 ' 42""","84° 42 ' 45""",1974,Brahmani and Baitarni,Larwa Nala.,Simdega,II,Earthfill_Embankment,14.8,366,1253000,125300000,,,I,71
1153,19,JH05MH0019,JANASAI,Jharkhand Water Resources Department,"22° 45 ' 10""","85° 38 ' 18""",1981,Subarnarekha,Sanjay Nala.,Chakardharpur,II,Earthfill_Embankment,19.21,1128,0,7030000,1250000,6600000,I,239
1154,20,JH05HH0020,Sunder,Jharkhand Water Resources Department,"24° 56 ' 37""","87° 23 ' 27""",1976,Ganga,Sunder.,Godda,IV,Earthfill_Embankment,35.67,1555,,30890000,4970000,21623000,I,833
1155,21,JH05MH0021,BOUDHA,Jharkhand Water Resources Department,"24° 1 ' 46""","85° 39 ' 49""",1978,Ganga,Jaroa.,Hazaribagh,III,Earthfill_Embankment,15.85,609.26,0,1570000,480000,1480000,I,78
1156,22,JH05HH0022,TENUGHAT,Jharkhand Water Resources Department,"23° 43 ' 31""","85° 50 ' 10""",1978,Ganga,Damodar.,Hazaribagh,III,Earthfill_Embankment,50.61,6494,,1020900000,64780000,999920000,I/H,15989.5
1157,23,JH05LH0023,DHANKAI,Jharkhand Water Resources Department,"24° 13 ' 24""","83° 57 ' 23""",1979,Ganga,Dhankai.,Daltonganj,III,Earthfill_Embankment,10.55,811,0,855400,,790000,I,55
1158,24,JH05LH0024,LEFT BANKI,Jharkhand Water Resources Department,"24° 13 ' 50""","83° 28 ' 38""",1980,Ganga,Left Banki.,Garhwa,III,Earthfill_Embankment,14.32,1500,0,5074300,,4749700,I,195.29
1159,25,JH05MH0025,CHATANIA GHAT,Jharkhand Water Resources Department,"24° 27 ' 3""","83° 33 ' 52""",1980,Ganga,Kuljhiri Nala.,Garhwa,III,Earthfill_Embankment,19.82,365.85,,1680000,310000,1176000,I,100
1160,26,JH05MH0026,ANJANWA,Jharkhand Water Resources Department,"24° 12 ' 25""","85° 17 ' 4""",1981,Ganga,Anjanwa.,Hazaribagh,III,Earthfill_Embankment,16.25,1341.46,0,616740000,2100000,6103000,I,283
1161,27,JH05LH0027,BARHI,Jharkhand Water Resources Department,"24° 15 ' 45""","85° 25 ' 58""",1981,Ganga,Matwghat.,Hazaribagh,III,Earthfill_Embankment,12.86,1057.92,0,3207000,,1580000,I,125
1162,28,JH05MH0028,BUKSA,Jharkhand Water Resources Department,"24° 15 ' 46""","85° 9 ' 19""",1982,Ganga,Buksa.,Chatra,III,Earthfill_Embankment,18.78,2667.67,0,12340000,3160000,11110000,I,312
1163,29,JH05MH0029,LOTIA,Jharkhand Water Resources Department,"24° 9 ' 7""","85° 23 ' 13""",1978,Ganga,Chondhi,Hazaribagh,III,Earthfill_Embankment,19.51,762.2,0,5500000,1060000,4640000,I,297
1164,30,JH05MH0030,HIROO,Jharkhand Water Resources Department,"24° 8 ' 57""","84° 56 ' 2""",1982,Ganga,Hiroo.,Chatra,III,Earthfill_Embankment,18.3,971,0,6232000,,5345000,I,
1165,31,JH05MH0031,MASARIA,Jharkhand Water Resources Department,"23° 12 ' 20""","84° 33 ' 35""",1983,Brahmani and Baitarni,Masaria.,Gumla,II,Earthfill_Embankment,21.54,807.93,0,3552000,740000,3158000,I,237.89
1166,32,JH05MH0032,PANDARWA,Jharkhand Water Resources Department,"0° 0 ' 0""","0° 0 ' 0""",1983,Ganga,Pandarwa.,Garhwa,II,Earthfill_Embankment,21.8,193.6,0,3814100,1070000,3530200,I,163.09
1167,33,JH05MH0033,CHINDA,Jharkhand Water Resources Department,"22° 35 ' 35""","84° 31 ' 19""",1984,Brahmani and Baitarni,Chinda.,Simdega,II,Other,17.62,121.34,0,10176000,2120000,8544000,I,782
1168,34,JH05MH0034,BUTAN-DUBA,Jharkhand Water Resources Department,"23° 57 ' 1""","84° 5 ' 11""",1985,Ganga,Butan-duba.,Daltonganj,III,Earthfill_Embankment,22.56,365.85,0,3480000,630000,3248700,I,163
1169,35,JH05MH0035,CHIRKA,Jharkhand Water Resources Department,"24° 0 ' 30""","83° 37 ' 50""",1985,Ganga,Dhengura,Garhwa,III,Earthfill_Embankment,22.13,1046.34,0,6171600,1190000,5680300,I,273
1170,36,JH05MH0036,DANRO,Jharkhand Water Resources Department,"24° 1 ' 0""","83° 33 ' 1""",1985,Ganga,Danro.,Garhwa,III,Earthfill_Embankment,22.38,1372,0,17218800,3360000,14811800,I,16100
1171,37,JH05MH0037,JAIPUR,Jharkhand Water Resources Department,"23° 10 ' 19""","84° 16 ' 45""",1985,Brahmani and Baitarni,Nakti Nala,Gumla,II,Earthfill_Embankment,22.56,914.63,0,1813000,280000,1558000,I,152
1172,38,JH05LH0038,LORGORA,Jharkhand Water Resources Department,"22° 34 ' 55""","85° 57 ' 7""",1985,Subarnarekha,kharkai.,Saraikela Kharsawan,II,Earthfill_Embankment,14.63,1055,0,3200000,,2300000,I,120
1173,39,JH05MH0039,MALAY,Jharkhand Water Resources Department,"23° 55 ' 7""","84° 16 ' 59""",1985,Ganga,North Koel,Daltonganj,III,Earthfill_Embankment,28.8,1714.2,0,,3460000,,I,490
1174,40,JH05MH0040,PARAS,Jharkhand Water Resources Department,"23° 15 ' 29""","84° 54 ' 46""",1985,Brahmani and Baitarni,Paras.,Ranchi,II,Earthfill_Embankment,24.39,702.68,0,18510000,3760000,16920000,I,383
1175,41,JH05MH0041,MURAHIR,Jharkhand Water Resources Department,"22° 38 ' 36""","86° 29 ' 46""",1987,Subarnarekha,Battajora Nala.,Ghatshila,II,Earthfill_Embankment,25.3,597.5,444460,99900000,1242200,8890000,I,350.3
1176,42,JH05MH0042,PALNA,Jharkhand Water Resources Department,"22° 56 ' 39""","85° 56 ' 13""",1987,Subarnarekha,Ranka jhuria.,Saraikela Kharsawan,II,Earthfill_Embankment,28.66,381.1,825000,12420000,1559000,11350000,I,354
1177,43,JH05HH0043,LATRATU,Jharkhand Water Resources Department,"23° 13 ' 25""","85° 4 ' 32""",1988,Brahmani and Baitarni,North Karo.,Ranchi,II,Earthfill_Embankment,39.329,1219.5,0,46890000,3410000,41460000,I,980
1178,44,JH05LH0044,NANDINI,Jharkhand Water Resources Department,"23° 23 ' 19""","84° 50 ' 19""",1987,Brahmani and Baitarni,Nandini.,Lohardaga,II,Rock_fill_Embankment,17.08,1646.34,0,193000000,5580000,16930000,I,589
1179,45,JH05MH0045,TAPKARA,Jharkhand Water Resources Department,"22° 47 ' 9""","84° 41 ' 5""",1988,Brahmani and Baitarni,Kukurdoba,Gumla,II,Earthfill_Embankment,24.23,350.61,0,0,1430000,,I,377
1180,46,JH05MH0046,TORLOW,Jharkhand Water Resources Department,"22° 16 ' 2""","85° 53 ' 17""",1990,Subarnarekha,Torlow.,Chaibasa,II,Earthfill_Embankment,22.25,2484.8,0,23880000,2024300,15320000,I,670
1181,47,JH05MH0047,ANRAJ,Jharkhand Water Resources Department,"24° 3 ' 55""","84° 49 ' 5""",,Ganga,Anraj.,Garhwa,III,Earthfill_Embankment,27.74,731.71,0,30426100,3440000,26908300,I,688
1182,48,JH05LH0048,BABHANI KHAND,Jharkhand Water Resources Department,"24° 18 ' 5""","83° 30 ' 49""",,Ganga,Banki,Garhwa,III,Earthfill_Embankment,13.1,822.96,,2314300,,2156400,I,113.38
1183,49,JH05MH0049,SUDHARI NALA,Jharkhand Water Resources Department,"24° 20 ' 34""","84° 52 ' 43""",,Ganga,Sudhari nala.,Chatra,III,Earthfill_Embankment,16.46,396.34,0,1380000,,1110000,I,94
1184,50,JH05HH0050,AMANAT,Jharkhand Water Resources Department,"24° 0 ' 27""","84° 33 ' 16""",,Ganga,Amanat.,Daltonganj,III,Earthfill_Embankment,41,869,0,107190000,2100000,81450000,I,6881
1185,51,JH05HH0051,AURANGA,Jharkhand Water Resources Department,"0° 0 ' 0""","0° 0 ' 0""",,Ganga,Auranga,Sambalpur,II,Earthfill_Embankment,54.86,597.56,0,552000000,4536000,460000000,I,8495
1186,52,JH05MH0052,BASUKI,Jharkhand Water Resources Department,"23° 24 ' 4""","85° 7 ' 28""",,Subarnarekha,Basuki,Ranchi,II,Earthfill_Embankment,20.42,2410.85,,52857143,,37000000,I,31
1187,53,JH05MH0053,BHAIRWA,Jharkhand Water Resources Department,"23° 31 ' 5""","85° 40 ' 28""",,Ganga,Bhairwa.,Hazaribagh,II,Earthfill_Embankment,29.57,2469.5,1350000,270000000,4900000,21000000,I,1176
1188,54,JH05MH0054,BURHI,Jharkhand Water Resources Department,"24° 21 ' 26""","86° 32 ' 29""",,Ganga,Pathro,Deoghar,III,Earthfill_Embankment,29.23,5760,,249228571,,174460000,I,2645
1189,55,JH05HH0055,CHANDIL,Jharkhand Water Resources Department,"22° 58 ' 31""","86° 1 ' 12""",,Subarnarekha,Subarnarekha.,Saraikela Kharsawan,II,Earthfill_Embankment,56.8,720.1,1866000,1500000000,174090000,1148000000,I/H/S/C,32340
1190,56,JH05MH0056,DHANSINGTOLI,Jharkhand Water Resources Department,"0° 0 ' 0""","0° 0 ' 0""",2009,Brahmani and Baitarni,South Koel,Gumla,II,Earthfill_Embankment,25.6,1068,0,12000000,40000,,I,14
1191,57,JH05HH0057,ICHA AT KUJU,Jharkhand Water Resources Department,"0° 0 ' 0""","0° 0 ' 0""",,Subarnarekha,kharkai.,Chaibasa,II,Other,38.5,1215.9,34600000,1043000000,119120000,839000000,I,23741
